stop_lat,stop_lon
-22.89731,-43.18737
-22.89797,-43.1954
-22.89541,-43.1964
-22.8984,-43.18773
-22.90064,-43.19296
-22.89331,-43.1926
-22.894498,-43.190443
-22.89538,-43.18789
-22.897653,-43.202279
-22.897611,-43.20376
-22.8976,-43.20581
-22.89699,-43.20429
-22.901242,-43.206571
-22.89979,-43.20569
-22.89605,-43.20335
-22.8943,-43.19774
-22.90678,-43.20935
-22.906215,-43.20955
-22.898571,-43.202755
-22.900666,-43.200768
-22.900548,-43.208675
-22.900214,-43.206754
-22.900395,-43.207174
-22.894509,-43.197401
-22.897111,-43.204214
-22.897132,-43.204272
-22.87773,-43.21602
-22.8886,-43.22001
-22.88385,-43.22547
-22.879491,-43.224601
-22.89425,-43.21386
-22.876802,-43.218708
-22.88343,-43.22595
-22.87797,-43.21592
-22.88546,-43.22908
-22.88464,-43.2265
-22.90082,-43.20973
-22.90861,-43.20924
-22.901663,-43.208455
-22.90297,-43.208376
-22.879428,-43.224736
-22.876667,-43.219271
-22.875813,-43.222653
-22.875651,-43.222618
-22.8764,-43.21381
-22.874689,-43.210347
-22.90591,-43.19395
-22.904898,-43.192358
-22.90677,-43.19493
-22.90853,-43.17225
-22.90609,-43.19353
-22.9059,-43.19296
-22.90344,-43.18532
-22.90562,-43.19151
-22.91079,-43.1713
-22.90542,-43.1924
-22.90732,-43.17396
-22.91343,-43.18832
-22.91448,-43.18843
-22.90243,-43.181646
-22.90143,-43.18009
-22.90384,-43.18753
-22.90573,-43.19337
-22.90541,-43.19145
-22.90319,-43.18456
-22.90688,-43.19524
-22.90623,-43.193405
-22.90481,-43.189
-22.90371,-43.18711
-22.91698,-43.18823
-22.90162,-43.18528
-22.90888,-43.17491
-22.902564,-43.182057
-22.90903,-43.17542
-22.91183,-43.17866
-22.904565,-43.191892
-22.9099,-43.17701
-22.90232,-43.18185
-22.90307,-43.19083
-22.90454,-43.18876
-22.910308,-43.171774
-22.90519,-43.17367
-22.90175,-43.18107
-22.902132,-43.182091
-22.900689,-43.178257
-22.900492,-43.177708
-22.902469,-43.183149
-22.905275,-43.192459
-22.907518,-43.172851
-22.899404,-43.187619
-22.904734,-43.189498
-22.878055,-43.215977
-22.90978,-43.19101
-22.90723,-43.18272
-22.91118,-43.19203
-22.91251,-43.18975
-22.9124,-43.18938
-22.90836,-43.17734
-22.905406,-43.174822
-22.90988,-43.16846
-22.888207,-43.219215
-22.90329,-43.18583
-22.90446,-43.18946
-22.90325,-43.18625
-22.90382,-43.18806
-22.90631,-43.17414
-22.90883,-43.17477
-22.901639,-43.181276
-22.90731,-43.183
-22.90705,-43.17404
-22.90843,-43.17465
-22.909323,-43.174306
-22.90242,-43.17877
-22.90467,-43.17793
-22.90441,-43.17505
-22.90859,-43.19501
-22.9106,-43.19392
-22.91362,-43.1907
-22.9148,-43.18904
-22.90889,-43.1829
-22.90824,-43.18243
-22.90925,-43.1935
-22.90773,-43.19399
-22.9078,-43.19226
-22.90958,-43.19173
-22.91219,-43.19057
-22.90837,-43.17813
-22.90881,-43.17938
-22.90874,-43.18894
-22.908392,-43.189263
-22.907964,-43.189656
-22.90917,-43.18048
-22.9099,-43.17266
-22.90878,-43.17147
-22.90795,-43.19572
-22.908986,-43.170703
-22.90484,-43.17577
-22.90585,-43.19226
